config_id,n_comp,encoded_size,lr,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
1,256,64,0.001,1,1,0.2770274579524994,0.9246249794960022,0.13438092172145844,0.9588333368301392,14.148912191390991,236609.0
1,256,64,0.001,1,2,0.09963905066251755,0.9707083106040955,0.10094226896762848,0.9714166522026062,11.627943754196167,236609.0
1,256,64,0.001,1,3,0.06588164716959,0.979770839214325,0.09325100481510162,0.9733333587646484,11.824397563934326,236609.0
1,256,64,0.001,1,4,0.04350843280553818,0.9868958592414856,0.09679054468870163,0.9723333120346069,10.51419997215271,236609.0
1,256,64,0.001,1,5,0.033255819231271744,0.9898750185966492,0.09109096974134445,0.9745000004768372,20.656662464141846,236609.0
1,256,64,0.001,1,6,0.025076711550354958,0.992479145526886,0.09516856074333191,0.9736666679382324,11.259469270706177,236609.0
1,256,64,0.001,1,7,0.02060076966881752,0.9937083125114441,0.09648380428552628,0.9759166836738586,10.220606327056885,236609.0
1,256,64,0.001,1,8,0.01818917505443096,0.9946458339691162,0.10163121670484543,0.9752500057220459,10.21702766418457,236609.0
1,256,64,0.001,1,9,0.015573491342365742,0.995270848274231,0.09046546369791031,0.9768333435058594,10.678628921508789,236609.0
1,256,64,0.001,1,10,0.01604457199573517,0.9950000047683716,0.09719906747341156,0.9748333096504211,10.90398383140564,236609.0
1,256,64,0.001,2,1,0.28200772404670715,0.9223541617393494,0.13268938660621643,0.9620833396911621,13.143888235092163,236609.0
1,256,64,0.001,2,2,0.09960001707077026,0.9710833430290222,0.10078572481870651,0.9700833559036255,10.389984607696533,236609.0
1,256,64,0.001,2,3,0.061996012926101685,0.9813958406448364,0.10604384541511536,0.9677500128746033,19.191692352294922,236609.0
1,256,64,0.001,2,4,0.04385242611169815,0.987333357334137,0.09343680739402771,0.9739999771118164,10.421256303787231,236609.0
1,256,64,0.001,2,5,0.03329004719853401,0.9893958568572998,0.08377038687467575,0.9776666760444641,16.66430640220642,236609.0
1,256,64,0.001,2,6,0.022568486630916595,0.9930833578109741,0.0886184498667717,0.9764166474342346,9.672260999679565,236609.0
1,256,64,0.001,2,7,0.020751191303133965,0.9940833449363708,0.09124290198087692,0.9755833148956299,10.183415174484253,236609.0
1,256,64,0.001,2,8,0.01687142252922058,0.9946666955947876,0.0898548811674118,0.9755833148956299,9.737799882888794,236609.0
1,256,64,0.001,2,9,0.01309895794838667,0.9962083101272583,0.08915077894926071,0.9753333330154419,8.15033745765686,236609.0
1,256,64,0.001,2,10,0.014707036316394806,0.9953749775886536,0.09687701612710953,0.9763333201408386,11.220139741897583,236609.0
1,256,64,0.001,3,1,0.2704389989376068,0.9261249899864197,0.1413324624300003,0.9575833082199097,11.988219261169434,236609.0
1,256,64,0.001,3,2,0.10405491292476654,0.9696875214576721,0.10394416004419327,0.968583345413208,9.983025312423706,236609.0
1,256,64,0.001,3,3,0.06466569751501083,0.9809583425521851,0.09374048560857773,0.971666693687439,13.01456594467163,236609.0
1,256,64,0.001,3,4,0.045537687838077545,0.9863958358764648,0.09887795895338058,0.9706666469573975,11.671943426132202,236609.0
1,256,64,0.001,3,5,0.0345328152179718,0.9898124933242798,0.09126093238592148,0.9732499718666077,19.353771448135376,236609.0
1,256,64,0.001,3,6,0.02502201870083809,0.9928541779518127,0.0867602676153183,0.9766666889190674,20.38069438934326,236609.0
1,256,64,0.001,3,7,0.018934715539216995,0.9944166541099548,0.09439323842525482,0.9751666784286499,10.397941589355469,236609.0
1,256,64,0.001,3,8,0.014405973255634308,0.995479166507721,0.09884615987539291,0.9745833277702332,9.019480466842651,236609.0
1,256,64,0.001,3,9,0.015188143588602543,0.9952916502952576,0.10504531860351562,0.9729999899864197,11.24947476387024,236609.0
1,256,64,0.001,3,10,0.014000160619616508,0.9960208535194397,0.0914774239063263,0.9765833616256714,10.547680616378784,236609.0
1,256,64,0.001,4,1,0.27308890223503113,0.9241666793823242,0.13796798884868622,0.9605833292007446,12.81562066078186,236609.0
1,256,64,0.001,4,2,0.09829219430685043,0.9710208177566528,0.1117115393280983,0.9662500023841858,10.365249633789062,236609.0
1,256,64,0.001,4,3,0.06273675709962845,0.981083333492279,0.1235443651676178,0.9635833501815796,11.041181087493896,236609.0
1,256,64,0.001,4,4,0.04614648595452309,0.9856458306312561,0.0991937667131424,0.9713333249092102,9.068465948104858,236609.0
1,256,64,0.001,4,5,0.029761772602796555,0.9904375076293945,0.08925467729568481,0.9746666550636292,10.310569047927856,236609.0
1,256,64,0.001,4,6,0.02281111851334572,0.9933958053588867,0.10054253041744232,0.9737499952316284,21.961745738983154,236609.0
1,256,64,0.001,4,7,0.01827058009803295,0.9938750267028809,0.09777906537055969,0.9746666550636292,18.257924556732178,236609.0
1,256,64,0.001,4,8,0.01673155650496483,0.9942499995231628,0.1040322557091713,0.9747499823570251,10.337389707565308,236609.0
1,256,64,0.001,4,9,0.015787363052368164,0.9951249957084656,0.10379640758037567,0.9739999771118164,10.26601266860962,236609.0
1,256,64,0.001,4,10,0.014568829908967018,0.9956458210945129,0.09795348346233368,0.9766666889190674,10.027320146560669,236609.0
1,256,64,0.001,5,1,0.2738977372646332,0.92208331823349,0.13433364033699036,0.9601666927337646,12.902269124984741,236609.0
1,256,64,0.001,5,2,0.09950855374336243,0.9709374904632568,0.1118130013346672,0.9660000205039978,9.006126642227173,236609.0
1,256,64,0.001,5,3,0.0633443221449852,0.9806249737739563,0.09338584542274475,0.9713333249092102,10.25516963005066,236609.0
1,256,64,0.001,5,4,0.042826663702726364,0.9870208501815796,0.08728712052106857,0.9735833406448364,10.278835535049438,236609.0
1,256,64,0.001,5,5,0.031782474368810654,0.9903125166893005,0.09601832926273346,0.971833348274231,10.292848348617554,236609.0
1,256,64,0.001,5,6,0.02315499447286129,0.9928333163261414,0.09329214692115784,0.9741666913032532,14.041159391403198,236609.0
1,256,64,0.001,5,7,0.019662780687212944,0.9940208196640015,0.10004110634326935,0.9725000262260437,9.586366176605225,236609.0
1,256,64,0.001,5,8,0.016311563551425934,0.9952916502952576,0.11422406882047653,0.9708333611488342,9.931520223617554,236609.0
1,256,64,0.001,5,9,0.01584729366004467,0.995479166507721,0.09163635969161987,0.9754166603088379,10.3055739402771,236609.0
1,256,64,0.001,5,10,0.015030011534690857,0.9952083230018616,0.10291726887226105,0.9738333225250244,10.299748659133911,236609.0
2,256,64,0.0005,1,1,0.33009371161460876,0.9105625152587891,0.16811180114746094,0.9525833129882812,12.797110557556152,236609.0
2,256,64,0.0005,1,2,0.13048484921455383,0.9623958468437195,0.1187158077955246,0.9673333168029785,10.892608880996704,236609.0
2,256,64,0.0005,1,3,0.08456677943468094,0.9748333096504211,0.10430163890123367,0.9696666598320007,9.425069093704224,236609.0
