config_id,components,lr,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
1,5,0.01,1,1,1.8507772227489587,0.425,1.091814070109165,0.6442424242424243,8.167391300201416,117275
1,5,0.01,1,2,0.8861777525959593,0.7247727272727272,0.7861496733174179,0.7571212121212121,7.577244997024536,117275
1,5,0.01,1,3,0.6923889779322075,0.7956060606060606,0.6698740298820265,0.8018181818181818,6.113938331604004,117275
1,5,0.01,1,4,0.6029686510201656,0.8240151515151515,0.6068920532862345,0.8203030303030303,6.340703964233398,117275
1,5,0.01,1,5,0.5500474066084081,0.8401515151515152,0.5632391820531902,0.8368181818181818,6.018268346786499,117275
1,5,0.01,2,1,2.1100403808824946,0.3657575757575758,1.148016905784607,0.646969696969697,6.431787967681885,117275
1,5,0.01,2,2,0.937388099973852,0.7156818181818182,0.7769088060205633,0.7715151515151515,5.954413414001465,117275
1,5,0.01,2,3,0.718623048319961,0.7857575757575758,0.6460639072187019,0.811060606060606,6.457073926925659,117275
1,5,0.01,2,4,0.6225551004482038,0.8151515151515152,0.5775524123509725,0.8362121212121212,5.938760042190552,117275
1,5,0.01,2,5,0.5650290737368844,0.8318939393939394,0.5343877244718147,0.8481818181818181,6.253173112869263,117275
1,5,0.01,3,1,1.9314229846723152,0.4034090909090909,1.0996452645822006,0.6483333333333333,6.116618394851685,117275
1,5,0.01,3,2,0.8929685993628068,0.7229545454545454,0.7564982037110762,0.77,6.108136177062988,117275
1,5,0.01,3,3,0.6874669981002808,0.7970454545454545,0.6328128428531415,0.8124242424242424,6.269014835357666,117275
1,5,0.01,3,4,0.5970193861470078,0.828939393939394,0.5701885770667683,0.8292424242424242,5.928845405578613,117275
1,5,0.01,3,5,0.5452646128336589,0.8400757575757576,0.5254170872948386,0.8481818181818181,7.529426336288452,117275
2,5,0.01,1,1,2.6044959715640905,0.16590909090909092,2.168788556619124,0.26636363636363636,6.104358196258545,117275
2,5,0.01,1,2,1.9202463927413478,0.34613636363636363,1.6985762788310195,0.42318181818181816,6.422577142715454,117275
