config_id,components,lr,momentum,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
1,5,0.001,N/A,1,1,1.0814187821474943,0.6354545454545455,0.6919845272555496,0.7581818181818182,6.745073080062866,117275
1,5,0.001,N/A,1,2,0.6260104893915581,0.7815151515151515,0.5897245053450266,0.7940909090909091,6.6063232421875,117275
1,5,0.001,N/A,1,3,0.5573851401155645,0.8015151515151515,0.5449740828167309,0.8074242424242424,6.423256874084473,117275
1,5,0.001,N/A,1,4,0.5226674261598876,0.8157575757575758,0.5234148262486313,0.8153030303030303,6.155818462371826,117275
1,5,0.001,N/A,1,5,0.49390553311868146,0.8270454545454545,0.5135505160779664,0.8184848484848485,6.416503429412842,117275
1,5,0.001,N/A,2,1,1.0999388560381802,0.6276515151515152,0.7259732752135306,0.7369696969696969,6.038262844085693,117275
1,5,0.001,N/A,2,2,0.6359531568758415,0.7728030303030303,0.6020851714683302,0.7821212121212121,6.528628349304199,117275
1,5,0.001,N/A,2,3,0.5575582507162383,0.7996969696969697,0.5672331729802218,0.7965151515151515,5.966191530227661,117275
1,5,0.001,N/A,2,4,0.5165360459414395,0.8141666666666667,0.5409609413869453,0.8051515151515152,6.597853183746338,117275
1,5,0.001,N/A,2,5,0.4928041370348497,0.825,0.5236182779615576,0.8096969696969697,5.9707841873168945,117275
1,5,0.001,N/A,3,1,1.0795640576247012,0.630530303030303,0.6826869045965599,0.7663636363636364,6.460472106933594,117275
1,5,0.001,N/A,3,2,0.6300253836313884,0.7778787878787878,0.5954751886382248,0.7890909090909091,6.204075813293457,117275
1,5,0.001,N/A,3,3,0.5613511065280798,0.8009848484848485,0.5463410384004767,0.8115151515151515,6.262237787246704,117275
1,5,0.001,N/A,3,4,0.5222110400055394,0.8143181818181818,0.5229215117295584,0.8157575757575758,6.399758338928223,117275
1,5,0.001,N/A,3,5,0.49770317003582465,0.8209848484848485,0.5042657417239564,0.826969696969697,10.138711214065552,117275
2,5,0.005,N/A,1,1,0.763345448103818,0.7379545454545454,0.5895529385046525,0.7825757575757576,6.1519858837127686,117275
2,5,0.005,N/A,1,2,0.5284189954309753,0.8143939393939394,0.642899527983232,0.7790909090909091,6.298649311065674,117275
2,5,0.005,N/A,1,3,0.5075240579518405,0.8235606060606061,0.5546160635803685,0.8101515151515152,6.274317264556885,117275
2,5,0.005,N/A,1,4,0.45220679174770007,0.843560606060606,0.5112710987437855,0.8286363636363636,6.0243871212005615,117275
2,5,0.005,N/A,1,5,0.4409904849168026,0.8452272727272727,0.5236000855763753,0.8256060606060606,8.0260648727417,117275
2,5,0.005,N/A,2,1,0.8105907957481615,0.7329545454545454,0.5973618097016306,0.7942424242424242,8.116696119308472,117275
2,5,0.005,N/A,2,2,0.5358875552090732,0.8128787878787879,0.5329012952428875,0.8156060606060606,7.16893744468689,117275
2,5,0.005,N/A,2,3,0.4951554887222521,0.8246212121212121,0.5224880050167893,0.8156060606060606,6.098979234695435,117275
2,5,0.005,N/A,2,4,0.4844459358489875,0.8311363636363637,0.5196755782040683,0.8236363636363636,6.391458749771118,117275
2,5,0.005,N/A,2,5,0.4548091486006072,0.84,0.5123662211678245,0.8242424242424242,5.995346784591675,117275
2,5,0.005,N/A,3,1,0.8240142300634673,0.7253030303030303,0.559279453682177,0.8007575757575758,6.601567506790161,117275
2,5,0.005,N/A,3,2,0.5407673718351307,0.8104545454545454,0.5830369355461814,0.7940909090909091,6.002891778945923,117275
