config_id,components,lr,momentum,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
1,5,0.001,N/A,1,1,2.3857996996947985,0.14333581533879375,2.296248942694968,0.1690245718540581,12.700496435165405,153625
1,5,0.001,N/A,1,2,2.2766588598186486,0.18459915611814345,2.283973856935669,0.1926036237279722,9.871277809143066,153625
1,5,0.001,N/A,1,3,2.2455278700414087,0.2097294614048151,2.260694244299079,0.20861255894762967,9.415210723876953,153625
1,5,0.001,N/A,1,4,2.2267726834046986,0.22269793993546785,2.2586553016292394,0.20191114420451725,9.56429409980774,153625
1,5,0.001,N/A,1,5,2.2137063795829652,0.2301439563167039,2.2372125475659326,0.2288409034499876,9.741573572158813,153625
1,5,0.001,N/A,2,1,2.3675623035336226,0.1514023330851328,2.3106686097275504,0.1768428890543559,9.580853939056396,153625
1,5,0.001,N/A,2,2,2.2752117952066073,0.18770166294365848,2.2745156656219336,0.19471332836932242,9.407418966293335,153625
1,5,0.001,N/A,2,3,2.246038096274771,0.20532390171258377,2.2498442744995706,0.20836435840158848,9.696903467178345,153625
1,5,0.001,N/A,2,4,2.2299779983453285,0.21599652519235543,2.2450666965518704,0.22040208488458674,9.848968982696533,153625
1,5,0.001,N/A,2,5,2.2195991736009892,0.22462149416728716,2.255020554943279,0.1912385207247456,9.144728660583496,153625
1,5,0.001,N/A,3,1,2.381885828111449,0.13917845619260363,2.304116445725063,0.16815586994291387,9.752410888671875,153625
1,5,0.001,N/A,3,2,2.273698047716998,0.18621245966741126,2.284319687138186,0.17088607594936708,9.823106050491333,153625
1,5,0.001,N/A,3,3,2.252525480783557,0.19787788533134773,2.249160909273986,0.19893273765202282,9.299706220626831,153625
1,5,0.001,N/A,3,4,2.232911794645433,0.21599652519235543,2.246157096792729,0.20476545048399106,9.664363145828247,153625
1,5,0.001,N/A,3,5,2.2160743517862653,0.228716803176967,2.2426519014013406,0.22238768925291635,9.738178014755249,153625
2,5,0.005,N/A,1,1,2.4016049976945366,0.16015140233308514,2.2838516675618186,0.1888806155373542,9.533391237258911,153625
2,5,0.005,N/A,1,2,2.2886412073288285,0.20091834202035244,2.3100105221971563,0.2088607594936709,9.566641569137573,153625
2,5,0.005,N/A,1,3,2.2592871313977994,0.21711342764954084,2.3180749903958437,0.22412509307520476,9.76187515258789,153625
2,5,0.005,N/A,1,4,2.269653719156189,0.21500372300819062,2.2872873191118654,0.22772400099280218,9.838303565979004,153625
2,5,0.005,N/A,1,5,2.2688870761376156,0.21885083147182924,2.2898037451376956,0.20141474311243485,9.368944883346558,153625
2,5,0.005,N/A,2,1,2.3736272139299532,0.16387441052370316,2.2871861019333353,0.20898485976669148,9.810297727584839,153625
2,5,0.005,N/A,2,2,2.2939956873455603,0.19942913874410523,2.3222290801481207,0.18677091089600398,9.794024467468262,153625
2,5,0.005,N/A,2,3,2.2553147865483827,0.21698932737652024,2.292659114329683,0.19818813601389923,9.3059241771698,153625
2,5,0.005,N/A,2,4,2.2493645216401443,0.22393894266567385,2.2719595468378624,0.22002978406552495,9.664836406707764,153625
2,5,0.005,N/A,2,5,2.249054123610295,0.22294614048150907,2.2817882024552456,0.20153884338545544,9.704814195632935,153625
2,5,0.005,N/A,3,1,2.4096164730589926,0.16052370315214692,2.30212255623714,0.20067014147431125,9.52033281326294,153625
2,5,0.005,N/A,3,2,2.3013841050764148,0.19980143956316704,2.350923018290997,0.20501365103003227,9.50377869606018,153625
2,5,0.005,N/A,3,3,2.273277328753477,0.22077438570364855,2.300690943859268,0.189873417721519,9.7284095287323,153625
2,5,0.005,N/A,3,4,2.2531582974239566,0.22704144949118887,2.3463491281583724,0.19657483246463142,9.74413800239563,153625
2,5,0.005,N/A,3,5,2.2440167919049108,0.2298957557706627,2.303259096538556,0.2328121121866468,9.283435821533203,153625
3,10,0.001,N/A,1,1,2.340410305744189,0.14141226110697444,2.2982309179407814,0.14184661206254653,24.00878667831421,409600
3,10,0.001,N/A,1,2,2.2756722429071474,0.17808389178456194,2.2743396131771614,0.16914867212707868,24.17145800590515,409600
3,10,0.001,N/A,1,3,2.2565341982246183,0.1947753785058327,2.2548445350450983,0.20277984611566147,23.976067066192627,409600
3,10,0.001,N/A,1,4,2.2392193738507054,0.20836435840158848,2.2610512402312692,0.19905683792504344,23.91361403465271,409600
3,10,0.001,N/A,1,5,2.22728234971833,0.214259121370067,2.23651368832819,0.20526185157607346,24.093385696411133,409600
3,10,0.001,N/A,2,1,2.3348377504251707,0.14203276247207744,2.294298891986857,0.1717547778605113,24.18413734436035,409600
3,10,0.001,N/A,2,2,2.272792098894401,0.1736162819558203,2.2589450828133755,0.1944651278232812,23.949553966522217,409600
3,10,0.001,N/A,2,3,2.248068449188918,0.1947753785058327,2.259937371944902,0.18441300570861255,23.865394353866577,409600
3,10,0.001,N/A,2,4,2.2311000871906863,0.20848845867460908,2.249768919848899,0.20501365103003227,24.033155918121338,409600
3,10,0.001,N/A,2,5,2.2254914948057967,0.21456937205261853,2.2491420551516867,0.20153884338545544,24.207210302352905,409600
3,10,0.001,N/A,3,1,2.335656272888657,0.14327376520228344,2.2963897400205324,0.15723504591710102,23.876121997833252,409600
3,10,0.001,N/A,3,2,2.270515714634971,0.18739141226110698,2.267669332503799,0.20253164556962025,23.99437975883484,409600
3,10,0.001,N/A,3,3,2.243836198559645,0.2097915115413254,2.257398957086574,0.20253164556962025,24.12176537513733,409600
3,10,0.001,N/A,3,4,2.2277953381513536,0.21854058078927774,2.2582807799491023,0.20203524447753785,24.215643882751465,409600
3,10,0.001,N/A,3,5,2.2163230627220423,0.2279101514023331,2.2560515130356187,0.2081161578555473,24.012173414230347,409600
4,10,0.005,N/A,1,1,2.370891855265432,0.17101017622238768,2.343833907835831,0.18801191362620998,24.11913228034973,409600
4,10,0.005,N/A,1,2,2.2866355849129003,0.2104740630429387,2.3073957158720915,0.20228344502357906,24.232298135757446,409600
4,10,0.005,N/A,1,3,2.2598988476684827,0.22139488706875154,2.3062918538282693,0.21245966741126832,24.219439268112183,409600
4,10,0.005,N/A,1,4,2.2542065824341555,0.22933730454207,2.2689885888983756,0.21618267560188634,23.930726766586304,409600
4,10,0.005,N/A,1,5,2.246575407781859,0.23541821792007941,2.324170775376824,0.1952097294614048,23.997095108032227,409600
4,10,0.005,N/A,2,1,2.372430051281423,0.15909655001241002,2.3260475012172566,0.18441300570861255,24.082008838653564,409600
4,10,0.005,N/A,2,2,2.2935649606601034,0.19843633655994042,2.280317795368364,0.19632663191859023,24.225348472595215,409600
4,10,0.005,N/A,2,3,2.271200571382096,0.20662695457930008,2.3218450432647457,0.20116654256639366,23.894892930984497,409600
4,10,0.005,N/A,2,4,2.2704514192570286,0.20457930007446015,2.2947499270946876,0.21990568379250433,24.057729959487915,409600
